INT	INT	INT	INT	INT	INT	INT	STRING	STRING
ID	女	男
1	0	5	10	1	1	-1	#G	流云发型图
2	1	6	10	1	2	-1	#G	游仙发型图
3	2	7	10	1	3	-1	#G	流思发型图
4	3	8	10	1	4	-1	#G	景瑶发型图
5	4	9	10	1	5	-1	#G	叠羽发型图
6	15	10	10	1	6	-1	#G	长忆发型图
7	16	11	10	1	7	-1	#G	寰海发型图
8	17	12	10	1	8	-1	#G	鬓华发型图
9	18	13	10	1	9	-1	#G	洛玄发型图
10	19	14	10	1	10	-1	#G	宝锦发型图
11	20	30	10	1	11	-1	#G	妙风发型图
12	21	31	10	1	12	-1	#G	辉月发型图
13	22	32	10	1	13	-1	#G	天髻发型图
14	23	33	10	1	14	-1	#G	凤髻发型图
15	24	34	10	1	15	-1	#G	入云发型图
16	25	35	10	1	16	-1	#G	云鬓发型图
17	26	36	10	1	17	-1	#G	追思发型图
18	27	37	10	1	18	-1	#G	行云发型图
19	28	38	10	1	19	-1	#G	蝉翼发型图
20	29	39	10	1	20	-1	#G	飞燕发型图
21	40	44	10	1	21	-1	#G	凌云发型图
22	41	45	10	1	22	-1	#G	夜行发型图
23	42	46	10	1	23	-1	#G	飘雪发型图
24	43	47	10	1	24	-1	#G	云髻发型图
25	52	53	10	1	25	-1	#G	雪羽发型图
26	48	49	10	1	26	-1	#G	明漪发型图
27	50	51	10	1	27	-1	#G	仙侣发型图
28	56	57	10	1	28	-1	#G	飞瀑发型图
29	58	59	10	1	29	-1	#G	岚云发型图
30	54	55	10	1	30	-1	#G	漓梦发型图
31	60	61	10	1	31	-1	#G	枉纠发型图
32	62	63	10	1	32	-1	#G	狂澜发型图
33	65	64	10	1	33	-1	#G	幽帘发型图
34	67	66	10	1	34	-1	#G	了尘发型图
35	69	68	10	1	35	-1	#G	沁盘发型图
36	71	73	10	1	36	-1	#G	如月发型图
37	70	72	10	1	37	-1	#G	逸轻发型图
38	76	75	10	1	38	-1	#G	英武发型图
39	74	77	10	1	39	-1	#G	幽凉发型图
40	78	79	10	1	40	-1	#G	云水发型图
41	80	81	10	1	41	-1	#G	浚逸发型图
42	82	83	10	1	42	-1	#G	连城发型图
43	84	85	10	1	43	-1	#G	晓山重发型图
44	88	89	10	1	44	-1	#G	天阙发型图
45	90	91	10	1	45	-1	#G	鹿鸣发型图
46	92	93	10	1	46	-1	#G	哞牛发型图
47	94	95	10	1	47	-1	#G	萌鸡发型图
48	96	97	10	1	48	-1	#G	疏影发型图
49	98	99	10	1	49	-1	#G	山椿发型图
50	100	101	10	1	50	-1	#G	星辉发型图
51	102	103	10	1	51	-1	#G	煌羽发型图
52	104	105	10	1	52	-1	#G	绒趣发型图
53	106	107	10	1	53	-1	#G	披靡发型图
54	108	109	10	1	54	-1	#G	情丝发型图
55	110	111	10	1	55	-1	#G	向晚发型图
56	112	113	10	1	56	-1	#G	天澜发型图
57	114	115	10	1	57	-1	#G	长天发型图
58	116	117	10	1	58	-1	#G	冰清发型图
59	118	119	10	1	59	-1	#G	祝疆发型图
60	120	121	10	1	60	-1	#G	月恋发型图
61	122	123	10	1	61	-1	#G	文渊发型图
62	124	125	10	1	62	-1	#G	丹绮发型图
63	126	127	10	1	63	-1	#G	照霜发型图
64	128	129	10	1	64	-1	#G	夜阑发型图
65	130	131	10	1	65	-1	#G	炎阳发型图
66	132	133	10	1	66	-1	#G	流彩发型图
67	134	135	10	1	67	-1	#G	迷蝶发型图
68	136	137	10	1	68	-1	#G	云海间发型图
69	138	139	10	1	69	-1	#G	眷侣发型图
70	140	141	10	1	70	-1	#G	长舞发型图
71	142	143	10	1	71	-1	#G	金风发型图
72	146	147	10	1	72	-1	#G	嘉盟发型图
73	144	145	10	1	73	-1	#G	霜华发型图
74	148	149	10	1	74	-1	#G	垂云发型图
75	150	151	10	1	75	-1	#G	相知发型图
76	152	153	10	1	76	-1	#G	聆月发型图
77	154	155	10	1	77	-1	#G	追忆发型图
78	158	159	10	1	78	-1	#G	迷梦发型图
79	156	157	10	1	79	-1	#G	湘醉发型图
80	160	161	10	1	80	-1	#G	铃鹿发型图
81	162	163	10	1	81	-1	#G	烬灭发型图
82	164	165	10	1	82	-1	#G	锦色发型图
83	166	167	10	1	83	-1	#G	听晓发型图
84	168	169	10	1	84	-1	#G	霞冠发型图
85	170	171	10	1	85	-1	#G	余白发型图
86	172	173	10	1	86	-1	#G	幽语发型图
87	174	175	10	1	87	-1	#G	雪玉发型图
