INT	INT	INT	INT
ID	Begin	Middle	End
1	20230206	20230213	20230219
2	20230220	20230227	20230312
3	20230313	20230327	20230402
4	20230403	20230410	20230416
5	20230417	20230424	20230430
6	20230501	20230508	20230514
7	20230515	20230522	20230528
8	20230529	20230605	20230611
9	20230612	20230619	20230625
10	20230626	20230703	20230709
11	20230710	20230717	20230723
12	20230724	20230731	20230806
13	20230807	20230814	20230820
14	20230821	20230828	20230903
15	20230904	20230911	20230917
16	20230918	20230925	20231001
17	20231002	20231009	20231015
18	20231016	20231023	20231029
19	20231030	20231106	20231112
20	20231113	20231120	20231126
21	20231127	20231204	20231210
22	20231211	20231218	20231224
23	20231225	20240101	20240107
24	20240108	20240115	20240121
25	20240122	20240129	20240204
