INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	803	54.4706	133.044
2	803	55.6377	157.3442
3	803	25.5925	172.4158
4	803	30.4059	142.5192
5	803	50.0469	81.5248
6	803	48.5778	57.4412
7	803	25.1692	56.7404
8	803	30.6146	23.7026
9	803	76.2687	34.4747
10	803	121.247	39.314
11	803	171.9055	46.7666
12	803	158.7834	80.1696
13	803	146.1336	126.5063
14	803	157.1763	157.1965
15	803	138.3931	165.9281
16	804	151.6755	167.0133
17	804	162.9396	132.4724
18	804	142.0086	125.2666
19	804	156.1433	99.4599
20	804	165.4271	86.8443
21	804	161.0833	48.5104
22	804	113.944	46.8204
23	804	63.0217	20.0432
24	804	42.8303	25.0584
25	804	32.5154	31.583
26	804	61.5538	56.1891
27	804	58.3046	77.6662
28	804	29.8508	108.3601
29	804	46.6995	130.8664
30	804	38.2361	157.4479
31	805	53.3788	166.0648
32	805	25.8374	162.2691
33	805	29.074	124.1213
34	805	70.9087	103.528
35	805	49.5207	69.2175
36	805	89.3643	52.8878
37	805	79.9051	69.6157
38	805	28.5416	64.5295
39	805	51.1921	53.5855
40	805	51.5593	35.6044
41	805	61.5986	21.7003
42	805	121.9705	45.542
43	805	171.9332	51.6457
44	805	166.2739	93.8286
45	805	148.7936	167.2009
