INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	833	34.4706	21.044
2	833	43.6377	37.3442
3	833	31.5925	86.4158
4	833	80.4059	48.5192
5	833	132.0469	63.5248
6	833	115.5778	52.4412
7	833	116.1692	73.7404
8	833	131.6146	100.7026
9	833	138.2687	93.4747
10	833	158.247	116.314
11	833	131.9055	116.7666
12	833	79.7834	92.1696
13	833	57.1336	78.5063
14	833	48.1763	148.1965
15	833	33.3931	149.9281
16	834	22.6755	24.0133
17	834	27.9396	34.4724
18	834	42.0086	92.2666
19	834	33.1433	62.4599
20	834	118.4271	57.8443
21	834	95.0833	83.5104
22	834	97.944	98.8204
23	834	87.0217	117.0432
24	834	156.8303	167.0584
25	834	171.5154	143.583
26	834	178.5538	127.1891
27	834	118.3046	117.6662
28	834	114.8508	134.3601
29	834	97.6995	148.8664
30	834	75.2361	162.4479
31	835	66.3788	15.0648
32	835	71.8374	36.2691
33	835	58.074	59.1213
34	835	44.9087	79.528
35	835	83.5207	99.2175
36	835	98.3643	109.8878
37	835	142.9051	74.6157
38	835	166	109.5295
39	835	162.1921	135.5855
40	835	153.5593	160.6044
41	835	171.5986	160.7003
42	835	75.9705	148.542
43	835	66.9332	144.6457
44	835	46.2739	114.8286
45	835	53.7936	89.2009
