INT	INT	INT	INT	INT
属性类型	属性值	属性值	属性值	属性值
0	1500	2700	4000	6000
3	750	1250	1875	2785
6	30	50	75	110
7	7	13	20	30
9	30	50	75	110
10	7	13	20	30
12	30	50	75	110
13	7	13	20	30
15	30	50	75	110
16	7	13	20	30
19	255	450	675	1000
22	255	450	675	1000
26	255	450	675	1000
29	255	450	675	1000
35	280	480	720	1100
36	280	480	720	1100
37	4	7	11	15
42	17	30	45	65
43	17	30	45	65
44	17	30	45	65
45	17	30	45	65
46	11	17	27	40
47	4	7	11	15
48	5	7	11	16
51	4	7	11	15
54	7	13	20	30
55	7	13	20	30
56	7	13	20	30
57	7	13	20	30
64	50	100	200	300
65	50	100	200	300
