INT	INT
Level	Exp
1	90
2	324
3	630
4	1152
5	1620
6	1800
7	1980
8	2160
9	2340
10	6300
11	7020
12	7776
13	8874
14	10044
15	11628
16	13320
17	15498
18	18216
19	21528
20	25488
21	30150
22	35568
23	41796
24	48888
25	57420
26	67500
27	78678
28	91008
29	104544
30	123624
31	144270
32	166536
33	190476
34	216144
35	243594
36	272880
37	304056
38	337176
39	372294
40	409860
41	449955
42	492660
43	538056
44	586224
45	637245
46	691200
47	748170
48	808236
49	871479
50	937980
51	1007820
52	1081080
53	1157841
54	1238184
55	1322190
56	1409940
57	1501515
58	1596996
59	1696464
60	1800000
61	1907685
62	2019600
63	2135826
64	2256444
65	2381535
66	2516850
67	2667825
68	2835000
69	3018915
70	3220110
71	3439125
72	3676500
73	3932775
74	4208490
75	4518405
76	4863600
77	5245155
78	5664150
79	6121665
80	6739740
81	7676775
82	9098370
83	11177325
84	14093640
85	18034515
86	23194350
87	29774745
88	37984500
89	48039615
90	60163290
91	74585925
92	91545120
93	111285675
94	134059590
95	160126065
96	189751500
97	223209495
98	260780850
99	302753565
100	307564920
101	312506775
102	317581830
103	322792785
104	328142340
105	333633195
106	339268050
107	345049605
108	350980560
109	357063615
110	363301470
111	369696825
112	376252380
113	382970835
114	389854890
115	396907245
116	404130600
117	411527655
118	419101110
119	426853665
120	434788020
121	442906875
122	451212930
123	459708885
124	468397440
125	477281295
126	486363150
127	495645705
128	505131660
129	514823715
130	524724570
131	534836925
132	545163480
133	555706935
134	566469990
135	577455345
136	588665700
137	600103755
138	611772210
139	623673765
140	635811120
141	648186975
142	660804030
143	673664985
144	686772540
145	724294215
146	766577250
147	813979845
148	866867400
149	925612515
150	0
151	262362285
152	262362285
153	262362285
154	262362285
155	262362285
156	262362285
157	262362285
158	262362285
159	262362285
160	262362285
161	262362285
162	262362285
163	262362285
164	262362285
165	262362285
166	262362285
167	262362285
168	262362285
169	262362285
170	262362285
171	262362285
172	262362285
173	262362285
174	262362285
175	262362285
176	262362285
177	262362285
178	262362285
179	262362285
180	262362285
181	262362285
182	262362285
183	262362285
184	262362285
185	262362285
186	262362285
187	262362285
188	262362285
189	262362285
190	262362285
191	262362285
192	262362285
193	262362285
194	262362285
195	262362285
196	262362285
197	262362285
198	262362285
199	262362285
200	262362285
201	262362285
202	262362285
203	262362285
204	262362285
205	262362285
206	262362285
207	262362285
208	262362285
209	262362285
210	262362285
211	262362285
212	262362285
213	262362285
214	262362285
215	262362285
216	262362285
217	262362285
218	262362285
219	262362285
220	262362285
221	262362285
222	262362285
223	262362285
224	262362285
225	262362285
226	262362285
227	262362285
228	262362285
229	262362285
230	262362285
231	262362285
232	262362285
233	262362285
234	262362285
235	262362285
236	262362285
237	262362285
238	262362285
239	262362285
240	262362285
241	262362285
242	262362285
243	262362285
244	262362285
245	262362285
246	262362285
247	262362285
248	262362285
249	262362285
250	262362285
251	262362285
252	262362285
253	262362285
254	262362285
255	262362285
