INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT
Index						Star						Skill_1	Skill_2	Skill_3	Skill_4	Skill_5
10158007	1	353	354	4435	0	4	0	4	0	3938	4408	3975	4018	3945	3955	3965	38002969	38002970	38002971	#{SBFW_20230707_66}	8607	47302	0.6	4.4	0.28
10158008	2	353	354	4435	0	4	0	4	0	3939	4409	4168	4018	4415	4425	4436	38002969	38002970	38002971	#{SBFW_20230707_67}	8603	47303	1.16	6.4	0.28
10158009	3	353	354	4435	0	4	0	4	0	3940	4410	4178	4018	4446	4456	4466	38002969	38002970	38002971	#{SBFW_20230707_68}	8608	47304	1.65	9.0	0.28
10158010	4	353	354	4435	0	4	0	4	0	3941	4411	4188	4018	4476	4486	4496	38002969	38002970	38002971	#{SBFW_20230707_69}	8602	47305	1.3	6.3	0.28
10158011	5	353	354	4435	0	4	0	4	0	3942	4412	4198	4018	4506	4516	4526	38002969	38002970	38002971	#{SBFW_20230707_70}	8606	47306	0.95	5.4	0.28
10158012	6	353	354	4435	0	4	0	4	0	3943	4413	4208	4018	4536	4546	4556	38002969	38002970	38002971	#{SBFW_20230707_71}	8604	47307	0.63	5.4	0.28
10158013	7	353	354	4435	0	4	0	4	0	4566	4414	4218	4018	4567	4577	4587	38002969	38002970	38002971	#{SBFW_20230707_72}	8605	47308	0.6	3.8	0.28
10158014	1	353	354	4435	0	5	1000	5	0	3938	4408	3975	4018	3945	3955	3965	38002969	38002970	38002971	#{SBFW_20230707_66}	8607	47302	0.6	4.4	0.28
10158015	2	353	354	4435	0	5	1000	5	0	3939	4409	4168	4018	4415	4425	4436	38002969	38002970	38002971	#{SBFW_20230707_67}	8603	47303	1.16	6.4	0.28
10158016	3	353	354	4435	0	5	1000	5	0	3940	4410	4178	4018	4446	4456	4466	38002969	38002970	38002971	#{SBFW_20230707_68}	8608	47304	1.65	9.0	0.28
10158017	4	353	354	4435	0	5	1000	5	0	3941	4411	4188	4018	4476	4486	4496	38002969	38002970	38002971	#{SBFW_20230707_69}	8602	47305	1.3	6.3	0.28
10158018	5	353	354	4435	0	5	1000	5	0	3942	4412	4198	4018	4506	4516	4526	38002969	38002970	38002971	#{SBFW_20230707_70}	8606	47306	0.95	5.4	0.28
10158019	6	353	354	4435	0	5	1000	5	0	3943	4413	4208	4018	4536	4546	4556	38002969	38002970	38002971	#{SBFW_20230707_71}	8604	47307	0.63	5.4	0.28
10158020	7	353	354	4435	0	5	1000	5	0	4566	4414	4218	4018	4567	4577	4587	38002969	38002970	38002971	#{SBFW_20230707_72}	8605	47308	0.6	3.8	0.28
10158021	1	353	354	4435	0	6	2000	6	1	3938	4408	3975	4018	3945	3955	3965	38002969	38002970	38002971	#{SBFW_20230707_66}	8607	47302	0.6	4.4	0.28
10158022	2	353	354	4435	0	6	2000	6	1	3939	4409	4168	4018	4415	4425	4436	38002969	38002970	38002971	#{SBFW_20230707_67}	8603	47303	1.16	6.4	0.28
10158023	3	353	354	4435	0	6	2000	6	1	3940	4410	4178	4018	4446	4456	4466	38002969	38002970	38002971	#{SBFW_20230707_68}	8608	47304	1.65	9.0	0.28
10158024	4	353	354	4435	0	6	2000	6	1	3941	4411	4188	4018	4476	4486	4496	38002969	38002970	38002971	#{SBFW_20230707_69}	8602	47305	1.3	6.3	0.28
10158025	5	353	354	4435	0	6	2000	6	1	3942	4412	4198	4018	4506	4516	4526	38002969	38002970	38002971	#{SBFW_20230707_70}	8606	47306	0.95	5.4	0.28
10158026	6	353	354	4435	0	6	2000	6	1	3943	4413	4208	4018	4536	4546	4556	38002969	38002970	38002971	#{SBFW_20230707_71}	8604	47307	0.63	5.4	0.28
10158027	7	353	354	4435	0	6	2000	6	1	4566	4414	4218	4018	4567	4577	4587	38002969	38002970	38002971	#{SBFW_20230707_72}	8605	47308	0.6	3.8	0.28
