INT	STRING	INT	INT	FLOAT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT
ID	名称	准乘人数	ModelID	AddHeight	RideRecipe	主坐动作组索引	主绑定点	副坐动作组索引	副绑定点	坐骑的移动声音ID	是否能跳跃
0	虎	1	1010	0.5	447	282	549	attach1	282	549		-1	1
1	黄骠马	1	1011	0.6	448	291	558		291	558		-1	1
2	灰狼	1	1012	0.5	455	271	538		271	538		-1	1
3	雕	1	1007	0.5	454	289	556		289	556		-1	-1
4	鹿	1	1014	0.6	453	295	562		295	562		-1	1
5	鹤	1	1008	0.9	450	294	561		294	561		-1	-1
6	青凤	1	1018	0.5	451	265	532		265	532		-1	-1
7	骆驼	1	1015	0.6	449	293	560		293	560		-1	1
8	牦牛	1	1016	0.6	452	268	535		268	535		-1	1
9	白虎	1	1002	0.5	456	276	543		276	543		-1	1
10	青白骢马	1	1017	0.6	457	290	557		290	557		-1	1
11	白狼	1	1003	0.5	464	275	542		275	542		-1	1
12	白雕	1	1001	0.5	463	278	545		278	545		-1	-1
13	白鹿	1	1004	0.6	462	280	547		280	547		-1	1
14	金翼鹤	1	1013	0.9	459	287	554		287	554		-1	-1
15	红白凤	1	1009	0.5	460	281	548		281	548		-1	-1
16	白骆驼	1	1005	0.6	458	279	546		279	546		-1	1
17	白牦牛	1	1006	0.6	461	273	540		273	540		-1	1
18	狮子	1	1019	0.6	561	270	537		270	537		-1	1
19	白狮	1	1020	0.6	562	274	541		274	541		-1	1
20		1	-1	0.6	20	980	979		980	979		-1	1
21	走雕	1	1025	0.5	446	285	552		285	552		-1	1
22	走白雕	1	1026	0.5	445	284	551		284	551		-1	1
23	象	2	1027	0.7	443	269	536		269	536	attach2	-1	1
24	白象	2	1028	0.7	444	269	536		269	536		-1	1
25	双人雕	2	1021	1.3	-1	264	531	骑乘点01	264	531	骑乘点02	-1	-1
26	骑乘陆吾	1	1029	0.6	440	288	555		288	555		-1	1
27	骑乘木牛流马	1	1030	0.6	439	267	534		267	534		-1	1
28	骑乘鸵鸟	1	1031	0.6	436	269	536		269	536		-1	1
29	骑乘犀牛	2	1032	0.7	442	269	536		269	536		-1	1
30	骑乘熊	1	1033	0.6	438	267	534		267	534		-1	1
31	骑乘玄龟	2	1034	0.5	441	272	539		272	539		-1	1
32	骑乘蜘蛛	1	1035	0.6	437	288	555		288	555		-1	1
33	骑乘河马	2	1036	0.7	430	269	536		269	536		-1	1
34	骑乘马车	1	1037	0.7	431	292	559		292	559		-1	-1
35	骑乘天马	1	1038	0.7	432	267	534		267	534		-1	1
36	骑乘兔子	1	1039	0.7	433	272	539		272	539		-1	1
37	骑乘舞狮	1	1040	0.7	434	269	536		269	536		-1	1
38	骑乘驯鹿	1	1041	0.7	435	267	534		267	534		-1	1
39	天使翅膀	1	1042	0.7	429	266	533		266	533		-1	-1
40	骑乘巨人	1	1043	0.7	427	272	539		272	539		-1	1
41	骑乘大绿龙	2	1044	0.7	428	269	536		269	536		-1	-1
42	骑乘麋鹿雪橇	2	1045	0.7	425	292	559		292	559		-1	-1
43	潘神骑乘	2	1046	0.7	426	269	536		269	536		-1	1
44		1	1061	0.7	424	266	533		266	533		-1	-1
45	骑乘春节白熊	1	2051	0.6	438	267	534		267	534		-1	1
46	骑乘碧水金睛兽	1	2172	0.7	532	269	536		269	536		-1	1
47	骑乘旋转木马	2	2244	0.7	1079	269	536		269	536		-1	-1
48	骑乘春节年兽	1	2253	0.7	1077	269	536		269	536		-1	1
49	骑乘情人节花车1	2	2254	0.6	1078	272	539		272	539		-1	-1
50	骑乘白豹	1	2293	0.7	1080	269	536		269	536		-1	1
51	骑乘黑豹	1	2294	0.7	1081	269	536		269	536		-1	1
52	骑乘巨猿	1	5023	0.7	1083	272	539		272	539		-1	1
53	骑乘鹜影雕	1	2365	0.5	1089	269	536		278	545		-1	-1
54	骑乘琉璃凤	1	2366	0.5	1084	269	536		281	548		-1	-1
55	骑乘瑞莲鹤	1	2367	0.9	1090	272	539		287	554		-1	-1
56	骑乘如意虎	1	2368	0.5	1087	269	536		276	543		-1	1
57	骑乘银月狼	1	2369	0.5	1085	269	536		275	542		-1	1
58	骑乘七彩鹿	1	2370	0.6	1091	269	536		280	547		-1	1
59	骑乘龙血马	1	2371	0.6	1088	269	536		290	557		-1	1
60	骑乘青牦牛	1	2372	0.6	1092	269	536		273	540		-1	1
61	骑乘烈焰狮	1	2373	0.6	1086	269	536		274	541		-1	1
62	咖啡翅膀	1	2376	0.7	541	266	533		266	533		-1	-1
63	骑乘松鼠	1	2399	0.6	1093	267	534		267	534		-1	1
64	骑乘蝴蝶翅膀	1	2419	0.7	1094	266	533		266	533		-1	-1
65	骑乘巴天虎	1	2492	0.7	1095	269	536		269	536		-1	1
66	骑乘羚羊	1	2508	0.6	1097	267	534		267	534		-1	1
67	骑乘雪羚羊	1	2509	0.6	1098	267	534		267	534		-1	1
68	骑乘幽光羚	1	2510	0.6	1099	269	536		273	540		-1	1
69	骑乘飞龙椅	2	2512	0.6	1096	272	539		272	539		-1	-1
70	骑乘火焰貂	1	2551	0.6	1123	267	534		267	534		-1	1
71	骑乘熊猫	1	2552	0.7	1124	269	536		269	536		-1	1
72	骑乘恐惧魔狰	1	2553	0.7	1125	269	536		269	536		-1	1
73	图鲁克	2	2554	0.7	1126	269	536		269	536		-1	-1
74	暗影图鲁克	2	2555	0.7	1127	269	536		269	536		-1	-1
75	紫影图鲁克	2	2556	0.7	1128	269	536		269	536		-1	-1
76	青麟白泽	1	5070	0.7	-1	269	536		269	536		-1	1
77	赤麟白泽	1	5071	0.7	-1	269	536		269	536		-1	1
78	憨宝熊	1	5069	0.7	-1	269	536		269	536		-1	1
79	黑天马	1	5073	0.7	-1	267	534		267	534		-1	1
80	云霄羽翼	1	5086	0.7	-1	266	533		266	533		-1	-1
81	梦灵仙驹	1	4332	0.7	-1	269	536		269	536		-1	1
82	江南锁甲马	1	2727	0.6	-1	269	536		269	536		-1	1
83	大漠金戈马	1	2728	0.6	-1	269	536		269	536		-1	1
84	绝地	1	6993	0.7	-1	267	534		267	534		-1	1
85	兵马俑马	1	7033	0.7	-1	980	979		980	979		-1	1
86	秦始皇马车	1	7043	0.7	-1	272	539		272	539		-1	-1
87	七夕船	2	7060	0.7	-1	995	994		272	539		-1	-1
88	红熊	1	7113	0.7	-1	269	536		269	536		-1	1
89	星空天马	1	7142	0.7	-1	267	534		267	534		-1	1
90	飞豹	1	7158	0.7	-1	269	536		269	536		-1	1
91	垂云翼	1	7159	0.7	-1	266	533		266	533		-1	-1
92	圣诞驯鹿	1	7170	0.7	-1	269	536		269	536		-1	1
93	清客摇	1	7207	0.7	-1	272	539		272	539		-1	1
94	不死鸟	1	7212	0.9	-1	1034	1035		1034	1035		-1	-1
95	翎月椅	1	7311	0.7	431	292	559		292	559		-1	-1
96	雁门风华	1	7465	0.7	-1	1106	1105		1106	1105		-1	-1
97	银汉浮梁	2	7481	0.7	-1	1117	1118		1117	1118		-1	-1
102	寄居蟹	2	7646	0.7	-1	272	539		272	539		-1	1
103	昆仑雪猿	1	7647	0.7	-1	269	536		269	536		-1	1
172		1	3363	0.5	1215	272	539		281	548		-1	-1
