INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
技能ID	品阶	技能类型	10级技能	20级技能	30级技能	40级技能	50级技能	60级技能	70级技能	80级技能	90级技能	100级技能	110级技能	120级技能	130级	140级技能	150级技能	160级技能
#外功攻击
274	200	1	32000	32001	32002	32003	32004	32005	32006	32007	32008	32009	32010	32011	32012	32013	32014	32015
274	400	1	23000	23001	23002	23003	23004	23005	23006	23007	23008	23009	23010	23011	23012	23013	23014	23015
274	600	1	23410	23411	23412	23413	23414	23415	23416	23417	23418	23419	23420	23421	23422	23423	23424	23425
274	800	1	23820	23821	23822	23823	23824	23825	23826	23827	23828	23829	23830	23831	23832	23833	23834	23835
274	1000	1	24230	24231	24232	24233	24234	24235	24236	24237	24238	24239	24240	24241	24242	24243	24244	24245
#内功攻击
274	200	2	32016	32017	32018	32019	32020	32021	32022	32023	32024	32025	32026	32027	32028	32029	32030	32031
274	400	2	23016	23017	23018	23019	23020	23021	23022	23023	23024	23025	23026	23027	23028	23029	23030	23031
274	600	2	23426	23427	23428	23429	23430	23431	23432	23433	23434	23435	23436	23437	23438	23439	23440	23441
274	800	2	23836	23837	23838	23839	23840	23841	23842	23843	23844	23845	23846	23847	23848	23849	23850	23851
274	1000	2	24246	24247	24248	24249	24250	24251	24252	24253	24254	24255	24256	24257	24258	24259	24260	24261
#冰属性攻击
274	200	3	32032	32033	32034	32035	32036	32037	32038	32039	32040	32041	32042	32043	32044	32045	32046	32047
274	400	3	23032	23033	23034	23035	23036	23037	23038	23039	23040	23041	23042	23043	23044	23045	23046	23047
274	600	3	23442	23443	23444	23445	23446	23447	23448	23449	23450	23451	23452	23453	23454	23455	23456	23457
274	800	3	23852	23853	23854	23855	23856	23857	23858	23859	23860	23861	23862	23863	23864	23865	23866	23867
274	1000	3	24262	24263	24264	24265	24266	24267	24268	24269	24270	24271	24272	24273	24274	24275	24276	24277
#火属性攻击
274	200	4	32048	32049	32050	32051	32052	32053	32054	32055	32056	32057	32058	32059	32060	32061	32062	32063
274	400	4	23048	23049	23050	23051	23052	23053	23054	23055	23056	23057	23058	23059	23060	23061	23062	23063
274	600	4	23458	23459	23460	23461	23462	23463	23464	23465	23466	23467	23468	23469	23470	23471	23472	23473
274	800	4	23868	23869	23870	23871	23872	23873	23874	23875	23876	23877	23878	23879	23880	23881	23882	23883
274	1000	4	24278	24279	24280	24281	24282	24283	24284	24285	24286	24287	24288	24289	24290	24291	24292	24293
#玄属性攻击
274	200	5	32064	32065	32066	32067	32068	32069	32070	32071	32072	32073	32074	32075	32076	32077	32078	32079
274	400	5	23064	23065	23066	23067	23068	23069	23070	23071	23072	23073	23074	23075	23076	23077	23078	23079
274	600	5	23474	23475	23476	23477	23478	23479	23480	23481	23482	23483	23484	23485	23486	23487	23488	23489
274	800	5	23884	23885	23886	23887	23888	23889	23890	23891	23892	23893	23894	23895	23896	23897	23898	23899
274	1000	5	24294	24295	24296	24297	24298	24299	24300	24301	24302	24303	24304	24305	24306	24307	24308	24309
#毒属性攻击
274	200	6	32080	32081	32082	32083	32084	32085	32086	32087	32088	32089	32090	32091	32092	32093	32094	32095
274	400	6	23080	23081	23082	23083	23084	23085	23086	23087	23088	23089	23090	23091	23092	23093	23094	23095
274	600	6	23490	23491	23492	23493	23494	23495	23496	23497	23498	23499	23500	23501	23502	23503	23504	23505
274	800	6	23900	23901	23902	23903	23904	23905	23906	23907	23908	23909	23910	23911	23912	23913	23914	23915
274	1000	6	24310	24311	24312	24313	24314	24315	24316	24317	24318	24319	24320	24321	24322	24323	24324	24325
#直接伤害
274	200	7	32096	32097	32098	32099	32100	32101	32102	32103	32104	32105	32106	32107	32108	32109	32110	32111
274	400	7	23096	23097	23098	23099	23100	23101	23102	23103	23104	23105	23106	23107	23108	23109	23110	23111
274	600	7	23506	23507	23508	23509	23510	23511	23512	23513	23514	23515	23516	23517	23518	23519	23520	23521
274	800	7	23916	23917	23918	23919	23920	23921	23922	23923	23924	23925	23926	23927	23928	23929	23930	23931
274	1000	7	24326	24327	24328	24329	24330	24331	24332	24333	24334	24335	24336	24337	24338	24339	24340	24341
#持续伤害
274	200	8	32112	32113	32114	32115	32116	32117	32118	32119	32120	32121	32122	32123	32124	32125	32126	32127
274	400	8	23112	23113	23114	23115	23116	23117	23118	23119	23120	23121	23122	23123	23124	23125	23126	23127
274	600	8	23522	23523	23524	23525	23526	23527	23528	23529	23530	23531	23532	23533	23534	23535	23536	23537
274	800	8	23932	23933	23934	23935	23936	23937	23938	23939	23940	23941	23942	23943	23944	23945	23946	23947
274	1000	8	24342	24343	24344	24345	24346	24347	24348	24349	24350	24351	24352	24353	24354	24355	24356	24357
#降低内外功攻击
275	200	1	32144	32145	32146	32147	32148	32149	32150	32151	32152	32153	32154	32155	32156	32157	32158	32159
275	400	1	23144	23145	23146	23147	23148	23149	23150	23151	23152	23153	23154	23155	23156	23157	23158	23159
275	600	1	23554	23555	23556	23557	23558	23559	23560	23561	23562	23563	23564	23565	23566	23567	23568	23569
275	800	1	23964	23965	23966	23967	23968	23969	23970	23971	23972	23973	23974	23975	23976	23977	23978	23979
275	1000	1	24374	24375	24376	24377	24378	24379	24380	24381	24382	24383	24384	24385	24386	24387	24388	24389
#降低内外功防御
275	200	2	32160	32161	32162	32163	32164	32165	32166	32167	32168	32169	32170	32171	32172	32173	32174	32175
