INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT
Index	BOOKLEVEL	BOOKID	经验	金币	加成	未知	经验	金币	加成	未知	经验	金币	加成	未知	经验	金币	加成	未知	经验	金币	加成	未知	经验	金币	加成	未知	经验	金币	加成	未知	经验	金币	加成	未知	经验	金币	加成	未知	经验	金币	加成	未知	经验	金币	加成	未知
1	0	0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0
2	1	0	1652	49	1.0	1.0	1652	49	1.0	1.0	4092	122	1.0	1.0	418	12	1.0	1.0	627	18	1.0	1.0	1415	42	1.0	1.0	1415	42	1.0	1.0	1602	48	1.0	1.0	658	19	1.0	1.0	693	20	1.0	1.0	548	16	1.0	1.0
3	2	0	20540	616	2.0	1.0	20540	616	2.0	1.0	50856	1525	2.0	1.0	5197	155	2.0	1.0	7795	233	2.0	1.0	17592	527	2.0	1.0	17592	527	2.0	1.0	19918	597	2.0	1.0	8185	245	2.0	1.0	8622	258	2.0	1.0	6818	204	2.0	1.0
4	3	0	58909	1767	3.0	1.0	58909	1767	3.0	1.0	145855	4375	3.0	1.0	14904	447	3.0	1.0	22357	670	3.0	1.0	50454	1513	3.0	1.0	50454	1513	3.0	1.0	57126	1713	3.0	1.0	23476	704	3.0	1.0	24728	741	3.0	1.0	19554	586	3.0	1.0
5	4	0	111193	3335	4.0	1.0	111193	3335	4.0	1.0	275303	8258	4.0	1.0	28133	843	4.0	1.0	42199	1265	4.0	1.0	95234	2856	4.0	1.0	95234	2856	4.0	1.0	107826	3234	4.0	1.0	44312	1329	4.0	1.0	46676	1400	4.0	1.0	36909	1107	4.0	1.0
6	5	0	175223	5256	5.0	1.0	175223	5256	5.0	1.0	433836	13014	5.0	1.0	44333	1329	5.0	1.0	66500	1994	5.0	1.0	150074	4502	5.0	1.0	150074	4502	5.0	1.0	169918	5097	5.0	1.0	69829	2094	5.0	1.0	73554	2206	5.0	1.0	58163	1744	5.0	1.0
7	6	0	249698	7490	6.0	1.0	249698	7490	6.0	1.0	618230	18546	6.0	1.0	63176	1895	6.0	1.0	94765	2842	6.0	1.0	213860	6415	6.0	1.0	213860	6415	6.0	1.0	242139	7264	6.0	1.0	99509	2985	6.0	1.0	104817	3144	6.0	1.0	82884	2486	6.0	1.0
8	7	0	333717	10011	7.0	1.0	333717	10011	7.0	1.0	826251	24787	7.0	1.0	84434	2533	7.0	1.0	126651	3799	7.0	1.0	285819	8574	7.0	1.0	285819	8574	7.0	1.0	323614	9708	7.0	1.0	132991	3989	7.0	1.0	140086	4202	7.0	1.0	110773	3323	7.0	1.0
9	8	0	426602	12798	8.0	1.0	426602	12798	8.0	1.0	1056225	31686	8.0	1.0	107935	3238	8.0	1.0	161903	4857	8.0	1.0	365373	10961	8.0	1.0	365373	10961	8.0	1.0	413687	12410	8.0	1.0	170008	5100	8.0	1.0	179076	5372	8.0	1.0	141605	4248	8.0	1.0
