INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	850	30.4706	64.044
2	850	40.6377	83.3442
3	850	16.5925	64.4158
4	850	28.4059	47.5192
5	850	44.0469	77.5248
6	850	84.5778	60.4412
7	850	142.1692	61.7404
8	850	153.6146	83.7026
9	850	116.2687	150.4747
10	850	95.247	156.314
11	850	65.9055	140.7666
12	850	39.7834	135.1696
13	850	28.1336	121.5063
14	850	106.1763	117.1965
15	850	112.3931	87.9281
16	851	99.6755	66.0133
17	851	82.9396	61.4724
18	851	112.0086	79.2666
19	851	133.1433	73.4599
20	851	156.4271	98.8443
21	851	106.0833	152.5104
22	851	85.944	130.8204
23	851	74.0217	117.0432
24	851	58.8303	141.0584
25	851	29.5154	123.583
26	851	39.5538	101.1891
27	851	28.3046	74.6662
28	851	18.8508	44.3601
29	851	33.6995	37.8664
30	851	57.2361	45.4479
31	852	60.3788	32.0648
32	852	14.8374	58.2691
33	852	37.074	76.1213
34	852	60.9087	72.528
35	852	82.5207	66.2175
36	852	113.3643	77.8878
37	852	110.9051	104.6157
38	852	107	133.5295
39	852	102.1921	160.5855
40	852	116.5593	153.6044
41	852	143.5986	140.7003
42	852	147.9705	110.542
43	852	152.9332	84.6457
44	852	146.2739	74.8286
45	852	162.7936	54.2009
