INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
actid	sceneid	rate	sceneid	rate	sceneid	rate	sceneid	rate	sceneid	rate	sceneid	rate	sceneid	rate	sceneid	rate	sceneid	rate	sceneid	rate
#<0>actid	活动编号																			
#<1>sceneid_?	Group?：场景ID																			
#<2>rate_?	Group?：随机分子，分母为同组中所有分子的和																			
#	
0	0	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	140	1	139	1	142	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	140	1	139	1	142	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	140	1	139	1	142	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	145	1	146	1	147	1	1284	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	145	1	146	1	147	1	1284	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	145	1	146	1	147	1	1284	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
16	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
17	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
18	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
19	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
20	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	184	1
21	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	184	1
26	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	184	1
27	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	184	1
28	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	184	1
29	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	184	1
41	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
42	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	184	1
228	18	1	24	1	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
229	18	1	24	1	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
230	18	1	24	1	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
250	18	1	24	1	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
252	2	1	0	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
275	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
318	0	1	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
344	0	1	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
345	0	1	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
346	0	1	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
347	41	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
348	41	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
349	6	1	24	1	26	1	27	1	5	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
350	6	1	24	1	26	1	27	1	5	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
359	0	1	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
