INT	INT
强化等级	穿刺伤害_减免
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	50
11	58
12	66
13	74
14	82
15	90
16	98
17	106
18	114
19	122
20	130
21	140
22	150
23	160
24	170
25	180
26	190
27	200
28	210
29	220
30	230
31	242
32	254
33	266
34	278
35	290
36	302
37	314
38	326
39	338
40	350
41	365
42	380
43	395
44	410
45	425
46	440
47	455
48	470
49	485
50	500
51	518
52	536
53	554
54	572
55	590
56	608
57	626
58	644
59	662
60	680
61	700
62	720
63	740
64	760
65	780
66	800
67	820
68	840
69	860
70	880
71	902
72	924
73	946
74	968
75	990
76	1012
77	1034
78	1056
79	1078
80	1100
81	1125
82	1150
83	1175
84	1200
85	1225
86	1250
87	1275
88	1300
89	1325
90	1350
91	1380
92	1410
93	1440
94	1470
95	1500
96	1530
97	1560
98	1590
99	1620
