INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT
index	名称	图标	描述	编号	INT	X最小值	X最大值	Y最小值	Y最大值	Z最小值	Z最大值	X默认	Y默认	Z默认	INT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT
1	月光宝盒	BackDecorate1_1	爱你万年，万年不变。	1	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	1	-1	
2	冰峰	BackDecorate1_2	琉璃注琼浆，一饮解百忧。	2	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	1	-1	
3	美丽冻梨	BackDecorate1_3	美丽无罪，冻梨落泪。	3	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	1	-1	
4	赤夜凰影	BackDecorate1_4	东风临夜落影红，凰舞九天羽追风。	5	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	1	-1
5	龙佑九州	BackDecorate1_5	四海升平，九州安宁。	8	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	1	-1
6	金羽剑匣	BackDecorate1_6	匣中藏剑气如虹，金羽生辉映碧空。	9	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	1	-1
7	银霜剑匣	BackDecorate1_7	寒月风华映凝霜，冷意缠剑入匣藏。	10	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	1	-1
8	夏日豹豹冰	BackDecorate1_8	豹豹冰凉盛一盏，抖落暑气自清凉。	12	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	1	-1
9	诗画录	BackDecorate1_10	昼夜寒窗不思归，诗书阅尽天下闻。	14	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	1	-1
10	无忧梦	BackDecorate1_9	兰若一遇已刻骨，再赴前缘梦无忧。	15	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	1	-1
11	金阙宝葫	BackDecorate1_11	腹纳三江气，金乌宝相生。	16	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	1	-1	
12	紫霄宝葫	BackDecorate1_12	青藤悬星斗，腹圆容万千。	17	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	1	-1	
13	角龙圆圆	BackDecorate1_13	小龙胖团团，圆圆似玉盘。	19	-1	0	255	0	255	0	255	128	128	128	128	128	128	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	1	-1	
