INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT
ID	class			Name	Icon	CostMoney	MaterialId	MaterialCount		Íâ¹Û	Íâ¹Û	Íâ¹Û	Î´Öª
1	0	1	1	·ÉÁç	PetSoulEquip1_5	50000	38002529	40	1	797	797	797	0
2	0	1	2	²ÔÀÇ	PetSoulEquip1_3	50000	38002528	40	1	797	797	797	0
3	0	1	3	Áé²õ	PetSoulEquip1_10	50000	38002527	40	1	797	797	797	0
4	0	1	4	°×¾Ô	PetSoulEquip1_2	50000	38002526	40	1	797	797	797	0
5	0	1	5	³àÐÜ	PetSoulEquip1_4	50000	38002525	40	1	797	797	797	0
6	1	1	6	Â¹Êñ	PetSoulEquip1_11	50000	38002674	1	0	792	793	794	0
7	1	1	7	½ðÎÚ	PetSoulEquip1_7	50000	38002674	1	0	777	778	779	0
8	1	1	8	Ëªº×	PetSoulEquip1_13	50000	38002674	1	0	784	785	786	0
9	1	1	9	»Ãµû	PetSoulEquip1_6	50000	38002674	1	0	775	776	767	0
10	1	1	10	½õÁÛ	PetSoulEquip1_8	50000	38002674	1	0	790	791	769	0
11	2	1	11	¾ÅÎ²	PetSoulEquip1_9	50000	38002673	1	0	781	782	783	0
12	2	1	12	ÖìÈ¸	PetSoulEquip1_15	50000	38002673	1	0	770	771	772	0
13	2	1	13	°×»¢	PetSoulEquip1_1	50000	38002673	1	0	773	774	768	0
14	2	1	14	ÐþÎä	PetSoulEquip1_14	50000	38002673	1	0	787	788	789	0
15	2	1	15	ÇàÁú	PetSoulEquip1_12	50000	38002673	1	0	795	796	780	0
16	3	0	16	ÇîÆæ	PetSoulEquip2_15	0	0	999	0	946	947	948	0
17	2	1	17	¹ÇÒí	PetSoulAdorn1_2	50000	38003229	1	0	1328	1328	1328	1
18	2	1	18	ÏÎÔÂ	PetSoulAdorn2_2	50000	38003683	1	0	1505	1505	1505	1	
