INT	INT	INT	INT
宝石ID	雕琢后宝石ID	需要物品ID	需要金钱
50102001	50102005	30900026	10000	
50102002	50102006	30900026	10000	
50102003	50102007	30900026	10000	
50102004	50102008	30900026	10000	
50112001	50112005	30900026	10000	
50112002	50112006	30900026	10000	
50112003	50112007	30900026	10000	
50112004	50112008	30900026	10000	
50202001	50202005	30900027	20000	
50202002	50202006	30900027	20000	
50202003	50202007	30900027	20000	
50202004	50202008	30900027	20000	
50212001	50212005	30900027	20000	
50212002	50212006	30900027	20000	
50212003	50212007	30900027	20000	
50212004	50212008	30900027	20000	
50302001	50302005	30900028	30000	
50302002	50302006	30900028	30000	
50302003	50302007	30900028	30000	
50302004	50302008	30900028	30000	
50302009	50302013	30900028	30000	
50302010	50302014	30900028	30000	
50302011	50302015	30900028	30000	
50302012	50302016	30900028	30000	
50312001	50312005	30900028	30000	
50312002	50312006	30900028	30000	
50312003	50312007	30900028	30000	
50312004	50312008	30900028	30000	
50312009	50312013	30900028	30000	
50312010	50312014	30900028	30000	
50312011	50312015	30900028	30000	
50312012	50312016	30900028	30000	
50402001	50402005	30900029	40000	
50402002	50402006	30900029	40000	
50402003	50402007	30900029	40000	
50402004	50402008	30900029	40000	
50402009	50402013	30900029	40000	
50402010	50402014	30900029	40000	
50402011	50402015	30900029	40000	
50402012	50402016	30900029	40000	
50412001	50412005	30900029	40000	
50412002	50412006	30900029	40000	
50412003	50412007	30900029	40000	
50412004	50412008	30900029	40000	
50412009	50412013	30900029	40000	
50412010	50412014	30900029	40000	
50412011	50412015	30900029	40000	
50412012	50412016	30900029	40000	
50502001	50502005	30900030	50000	
50502002	50502006	30900030	50000	
50502003	50502007	30900030	50000	
50502004	50502008	30900030	50000	
50502009	50502013	30900030	50000	
50502010	50502014	30900030	50000	
50502011	50502015	30900030	50000	
50502012	50502016	30900030	50000	
50512001	50512005	30900030	50000	
50512002	50512006	30900030	50000	
50512003	50512007	30900030	50000	
50512004	50512008	30900030	50000	
50512009	50512013	30900030	50000	
50512010	50512014	30900030	50000	
50512011	50512015	30900030	50000	
50512012	50512016	30900030	50000	
50602001	50602005	30900031	60000	
50602002	50602006	30900031	60000	
50602003	50602007	30900031	60000	
50602004	50602008	30900031	60000	
50602009	50602013	30900031	60000	
50602010	50602014	30900031	60000	
50602011	50602015	30900031	60000	
50602012	50602016	30900031	60000	
50612001	50612005	30900031	60000	
50612002	50612006	30900031	60000	
50612003	50612007	30900031	60000	
50612004	50612008	30900031	60000	
50612009	50612013	30900031	60000	
50612010	50612014	30900031	60000	
50612011	50612015	30900031	60000	
50612012	50612016	30900031	60000	
50702001	50702005	30900032	70000	
50702002	50702006	30900032	70000	
50702003	50702007	30900032	70000	
50702004	50702008	30900032	70000	
50702009	50702013	30900032	70000	
50702010	50702014	30900032	70000	
50702011	50702015	30900032	70000	
50702012	50702016	30900032	70000	
50712001	50712005	30900032	70000	
50712002	50712006	30900032	70000	
50712003	50712007	30900032	70000	
50712004	50712008	30900032	70000	
50712009	50712013	30900032	70000	
50712010	50712014	30900032	70000	
50712011	50712015	30900032	70000	
50712012	50712016	30900032	70000	
50802001	50802005	30900033	80000	
50802002	50802006	30900033	80000	
50802003	50802007	30900033	80000	
50802004	50802008	30900033	80000	
50802009	50802013	30900033	80000	
50802010	50802014	30900033	80000	
50802011	50802015	30900033	80000	
50802012	50802016	30900033	80000	
50812001	50812005	30900033	80000	
50812002	50812006	30900033	80000	
50812003	50812007	30900033	80000	
50812004	50812008	30900033	80000	
50812009	50812013	30900033	80000	
50812010	50812014	30900033	80000	
50812011	50812015	30900033	80000	
50812012	50812016	30900033	80000	
50902001	50902005	30900034	90000	
50902002	50902006	30900034	90000	
50902003	50902007	30900034	90000	
50902004	50902008	30900034	90000	
50902009	50902013	30900034	90000	
50902010	50902014	30900034	90000	
50902011	50902015	30900034	90000	
50902012	50902016	30900034	90000	
50912001	50912005	30900034	90000	
50912002	50912006	30900034	90000	
50912003	50912007	30900034	90000	
50912004	50912008	30900034	90000	
50912009	50912013	30900034	90000	
50912010	50912014	30900034	90000	
50912011	50912015	30900034	90000	
50912012	50912016	30900034	90000	


##±???t??湤???ˉ ?′?μ?? ???923288704
