INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引	装备点	强化等级	收取金钱	成功率	退化等级	外攻	内攻	外防	内防	命中	闪避
0	0	1	100	3500	0	10	10	10	10	10	10
1	0	2	115	2000	1	15	15	15	15	15	15
2	0	3	132	1000	1	21	21	21	21	21	21
3	0	4	151	500	1	30	30	30	30	30	30
4	0	5	173	500	1	44	44	44	44	44	44
5	0	6	199	200	5	70	70	70	70	70	70
6	0	7	228	200	5	93	93	93	93	93	93
7	0	8	261	200	7	135	135	135	135	135	135
8	0	9	300	200	8	195	195	195	195	195	195
9	0	10	300	1000	9	195	195	195	195	195	195
10	0	11	300	1000	10	195	195	195	195	195	195
11	0	12	300	1000	11	195	195	195	195	195	195
12	0	13	300	1000	12	195	195	195	195	195	195
13	0	14	300	1000	13	195	195	195	195	195	195
14	0	15	300	1000	14	195	195	195	195	195	195
15	0	16	300	1000	15	195	195	195	195	195	195
16	0	17	300	1000	16	195	195	195	195	195	195
17	0	18	300	1000	17	195	195	195	195	195	195
18	0	19	300	1000	18	195	195	195	195	195	195
19	0	20	300	1000	19	195	195	195	195	195	195
20	0	21	300	2666	20	195	195	195	195	195	195
21	0	22	300	1000	21	195	195	195	195	195	195
22	0	23	300	1000	22	195	195	195	195	195	195
23	0	24	300	333	23	195	195	195	195	195	195
24	0	25	300	857	24	195	195	195	195	195	195
25	0	26	300	500	25	195	195	195	195	195	195
26	0	27	300	222	26	195	195	195	195	195	195
27	0	28	300	100	27	195	195	195	195	195	195
28	0	29	300	818	28	195	195	195	195	195	195
29	0	30	300	666	29	195	195	195	195	195	195
30	0	31	300	250	30	195	195	195	195	195	195
31	0	32	300	111	31	195	195	195	195	195	195
32	0	33	300	309	32	195	195	195	195	195	195
33	0	34	300	314	33	195	195	195	195	195	195
34	0	35	300	188	34	195	195	195	195	195	195
35	0	36	300	200	35	195	195	195	195	195	195
36	0	37	300	134	36	195	195	195	195	195	195
37	0	38	300	84	37	195	195	195	195	195	195
38	0	39	300	44	38	195	195	195	195	195	195
39	0	40	300	112	39	195	195	195	195	195	195
40	0	41	300	127	40	195	195	195	195	195	195
41	0	42	300	112	41	195	195	195	195	195	195
42	0	43	300	100	42	195	195	195	195	195	195
43	0	44	300	88	43	195	195	195	195	195	195
44	0	45	300	78	44	195	195	195	195	195	195
45	0	46	300	169	45	195	195	195	195	195	195
46	0	47	300	161	46	195	195	195	195	195	195
47	0	48	300	153	47	195	195	195	195	195	195
48	0	49	300	147	48	195	195	195	195	195	195
49	0	50	300	87	49	195	195	195	195	195	195
50	0	51	300	57	50	195	195	195	195	195	195
51	0	52	300	57	51	195	195	195	195	195	195
52	0	53	300	57	52	195	195	195	195	195	195
53	0	54	300	57	53	195	195	195	195	195	195
54	0	55	300	57	54	195	195	195	195	195	195
55	0	56	300	57	55	195	195	195	195	195	195
56	0	57	300	57	56	195	195	195	195	195	195
57	0	58	300	57	57	195	195	195	195	195	195
58	0	59	300	57	58	195	195	195	195	195	195
59	0	60	300	30	59	195	195	195	195	195	195
60	0	61	300	30	60	195	195	195	195	195	195
61	0	62	300	30	61	195	195	195	195	195	195
62	0	63	300	30	62	195	195	195	195	195	195
63	0	64	300	30	63	195	195	195	195	195	195
64	0	65	300	30	64	195	195	195	195	195	195
65	0	66	300	30	65	195	195	195	195	195	195
66	0	67	300	30	66	195	195	195	195	195	195
67	0	68	300	30	67	195	195	195	195	195	195
68	0	69	300	40	68	195	195	195	195	195	195
69	0	70	300	38	69	195	195	195	195	195	195
70	0	71	300	30	70	195	195	195	195	195	195
71	0	72	300	30	71	195	195	195	195	195	195
72	0	73	300	29	72	195	195	195	195	195	195
73	0	74	300	28	73	195	195	195	195	195	195
74	0	75	300	27	74	195	195	195	195	195	195
75	0	76	300	26	75	195	195	195	195	195	195
76	0	77	300	25	76	195	195	195	195	195	195
