INT	INT	INT
Index	Level	Max
1	1	10000
2	2	40000
3	3	90000
4	4	160000
5	5	250000
6	6	360000
7	7	490000
8	8	640000
9	9	810000
10	10	1000000
11	11	1210000
12	12	1440000
13	13	1690000
14	14	1960000
15	15	2250000
16	16	2560000
17	17	2890000
18	18	3240000
19	19	3610000
20	20	4000000
21	21	4410000
22	22	4840000
23	23	5290000
24	24	5760000
25	25	6250000
26	26	6760000
27	27	7290000
28	28	7840000
29	29	8410000
30	30	18000000
31	31	19220000
32	32	19456000
33	33	20691000
34	34	20808000
35	35	22050000
36	36	22680000
37	37	23273000
38	38	23826000
39	39	24336000
40	40	24800000
41	41	25215000
42	42	25578000
43	43	25886000
44	44	26136000
45	45	26325000
46	46	26450000
47	47	26508000
48	48	26726400
49	49	26891200
50	50	27000000
51	51	27310500
52	52	28121600
53	53	28932700
54	54	29160000
55	55	30250000
56	56	31360000
57	57	32490000
58	58	33640000
59	59	34810000
60	60	36000000
61	61	37210000
62	62	38440000
63	63	39690000
64	64	40960000
65	65	42250000
66	66	43560000
67	67	44890000
68	68	46240000
69	69	47610000
70	70	49000000
71	71	50410000
72	72	51840000
73	73	53290000
74	74	54760000
75	75	56250000
76	76	57760000
77	77	59290000
78	78	60840000
79	79	62410000
80	80	64000000
81	81	65610000
82	82	67240000
83	83	68890000
84	84	70560000
85	85	72250000
86	86	73960000
87	87	75690000
88	88	77440000
89	89	79210000
90	90	81000000
91	91	82810000
92	92	84640000
93	93	86490000
94	94	88360000
95	95	90250000
96	96	92160000
97	97	94090000
98	98	96040000
99	99	98010000
100	100	1000000000
101	101	1000000000
102	102	1000000000
103	103	1000000000
104	104	1000000000
105	105	1000000000
106	106	1000000000
107	107	1000000000
108	108	1000000000
109	109	1000000000
110	110	1000000000
111	111	1000000000
112	112	1000000000
113	113	1000000000
114	114	1000000000
115	115	1000000000
116	116	1000000000
117	117	1000000000
118	118	1000000000
119	119	1000000000
120	120	1000000000
121	121	1000000000
122	122	1000000000
123	123	1000000000
124	124	1000000000
125	125	1000000000
126	126	1000000000
127	127	1000000000
128	128	1000000000
129	129	1000000000
130	130	1000000000
131	131	1000000000
132	132	1000000000
133	133	1000000000
134	134	1000000000
135	135	1000000000
136	136	1000000000
137	137	1000000000
138	138	1000000000
139	139	1000000000
140	140	1000000000
141	141	1000000000
142	142	1000000000
143	143	1000000000
144	144	1000000000
145	145	1000000000
146	146	1000000000
147	147	1000000000
148	148	1000000000
149	149	1000000000
150	150	1000000000
