INT	INT	INT	INT	INT
需要升级的珍兽技能ID	升级后的珍兽技能ID	需要消耗的物品ID	需要消耗的金钱	是否广播
656	1197	30503043	20000	0
657	1206	30503043	20000	0
658	1215	30503043	20000	0
659	1224	30503043	20000	0
660	1233	30503043	20000	0
661	1242	30503043	20000	0
663	1116	30503052	20000	0
665	1125	30503052	20000	0
667	1134	30503052	20000	0
669	1143	30503052	20000	0
671	1152	30503052	20000	0
702	1269	30503034	20000	0
703	1278	30503034	20000	0
704	1296	30503034	20000	0
705	1287	30503034	20000	0
723	1260	30503034	20000	0
729	1251	30503034	20000	0
752	1161	30503061	20000	0
753	1170	30503061	20000	0
754	1179	30503061	20000	0
755	1188	30503061	20000	0
1116	1117	30503053	40000	0
1117	1118	30503054	60000	1
1118	1119	30503055	100000	1
1119	1120	30503056	150000	1
1120	1121	30503057	250000	1
1121	1122	30503058	400000	1
1122	1123	30503059	700000	1
1123	1124	30503060	990000	1
1125	1126	30503053	40000	0
1126	1127	30503054	60000	1
1127	1128	30503055	100000	1
1128	1129	30503056	150000	1
1129	1130	30503057	250000	1
1130	1131	30503058	400000	1
1131	1132	30503059	700000	1
1132	1133	30503060	990000	1
1134	1135	30503053	40000	0
1135	1136	30503054	60000	1
1136	1137	30503055	100000	1
1137	1138	30503056	150000	1
1138	1139	30503057	250000	1
1139	1140	30503058	400000	1
1140	1141	30503059	700000	1
1141	1142	30503060	990000	1
1143	1144	30503053	40000	0
1144	1145	30503054	60000	1
1145	1146	30503055	100000	1
1146	1147	30503056	150000	1
1147	1148	30503057	250000	1
1148	1149	30503058	400000	1
1149	1150	30503059	700000	1
1150	1151	30503060	990000	1
1152	1153	30503053	40000	0
1153	1154	30503054	60000	1
1154	1155	30503055	100000	1
1155	1156	30503056	150000	1
1156	1157	30503057	250000	1
1157	1158	30503058	400000	1
1158	1159	30503059	700000	1
1159	1160	30503060	990000	1
1161	1162	30503062	40000	0
1162	1163	30503063	60000	1
1163	1164	30503064	100000	1
1164	1165	30503065	150000	1
1165	1166	30503066	250000	1
1166	1167	30503067	400000	1
1167	1168	30503068	700000	1
1168	1169	30503069	990000	1
1170	1171	30503062	40000	0
1171	1172	30503063	60000	1
1172	1173	30503064	100000	1
1173	1174	30503065	150000	1
1174	1175	30503066	250000	1
1175	1176	30503067	400000	1
1176	1177	30503068	700000	1
1177	1178	30503069	990000	1
1179	1180	30503062	40000	0
1180	1181	30503063	60000	1
1181	1182	30503064	100000	1
1182	1183	30503065	150000	1
1183	1184	30503066	250000	1
1184	1185	30503067	400000	1
1185	1186	30503068	700000	1
1186	1187	30503069	990000	1
1188	1189	30503062	40000	0
1189	1190	30503063	60000	1
1190	1191	30503064	100000	1
1191	1192	30503065	150000	1
1192	1193	30503066	250000	1
1193	1194	30503067	400000	1
1194	1195	30503068	700000	1
1195	1196	30503069	990000	1
1197	1198	30503044	40000	0
1198	1199	30503045	60000	1
1199	1200	30503046	100000	1
1200	1201	30503047	150000	1
1201	1202	30503048	250000	1
1202	1203	30503049	400000	1
1203	1204	30503050	700000	1
1204	1205	30503051	990000	1
1206	1207	30503044	40000	0
1207	1208	30503045	60000	1
1208	1209	30503046	100000	1
1209	1210	30503047	150000	1
1210	1211	30503048	250000	1
1211	1212	30503049	400000	1
1212	1213	30503050	700000	1
1213	1214	30503051	990000	1
1215	1216	30503044	40000	0
1216	1217	30503045	60000	1
1217	1218	30503046	100000	1
1218	1219	30503047	150000	1
1219	1220	30503048	250000	1
1220	1221	30503049	400000	1
1221	1222	30503050	700000	1
1222	1223	30503051	990000	1
1224	1225	30503044	40000	0
1225	1226	30503045	60000	1
1226	1227	30503046	100000	1
1227	1228	30503047	150000	1
1228	1229	30503048	250000	1
1229	1230	30503049	400000	1
1230	1231	30503050	700000	1
1231	1232	30503051	990000	1
1233	1234	30503044	40000	0
1234	1235	30503045	60000	1
1235	1236	30503046	100000	1
1236	1237	30503047	150000	1
1237	1238	30503048	250000	1
1238	1239	30503049	400000	1
1239	1240	30503050	700000	1
1240	1241	30503051	990000	1
1242	1243	30503044	40000	0
1243	1244	30503045	60000	1
1244	1245	30503046	100000	1
1245	1246	30503047	150000	1
1246	1247	30503048	250000	1
1247	1248	30503049	400000	1
1248	1249	30503050	700000	1
1249	1250	30503051	990000	1
1251	1252	30503035	40000	0
1252	1253	30503036	60000	1
1253	1254	30503037	100000	1
1254	1255	30503038	150000	1
1255	1256	30503039	250000	1
1256	1257	30503040	400000	1
1257	1258	30503041	700000	1
1258	1259	30503042	990000	1
1260	1261	30503035	40000	0
1261	1262	30503036	60000	1
1262	1263	30503037	100000	1
1263	1264	30503038	150000	1
1264	1265	30503039	250000	1
1265	1266	30503040	400000	1
1266	1267	30503041	700000	1
1267	1268	30503042	990000	1
1269	1270	30503035	40000	0
1270	1271	30503036	60000	1
1271	1272	30503037	100000	1
1272	1273	30503038	150000	1
1273	1274	30503039	250000	1
1274	1275	30503040	400000	1
1275	1276	30503041	700000	1
1276	1277	30503042	990000	1
1278	1279	30503035	40000	0
1279	1280	30503036	60000	1
1280	1281	30503037	100000	1
1281	1282	30503038	150000	1
1282	1283	30503039	250000	1
1283	1284	30503040	400000	1
1284	1285	30503041	700000	1
1285	1286	30503042	990000	1
1287	1288	30503035	40000	0
1288	1289	30503036	60000	1
1289	1290	30503037	100000	1
1290	1291	30503038	150000	1
1291	1292	30503039	250000	1
1292	1293	30503040	400000	1
1293	1294	30503041	700000	1
1294	1295	30503042	990000	1
1296	1297	30503035	40000	0
1297	1298	30503036	60000	1
1298	1299	30503037	100000	1
1299	1300	30503038	150000	1
1300	1301	30503039	250000	1
1301	1302	30503040	400000	1
1302	1303	30503041	700000	1
1303	1304	30503042	990000	1
1656	1657	30503176	20000	0
1657	1658	30503177	40000	0
1658	1659	30503178	60000	1
1659	1660	30503179	100000	1
1660	1661	30503180	150000	1
1661	1662	30503181	250000	1
1664	1665	30503176	20000	0
1665	1666	30503177	40000	0
1666	1667	30503178	60000	1
1667	1668	30503179	100000	1
1668	1669	30503180	150000	1
1669	1670	30503181	250000	1
1672	1673	30503176	20000	0
1673	1674	30503177	40000	0
1674	1675	30503178	60000	1
1675	1676	30503179	100000	1
1676	1677	30503180	150000	1
1677	1678	30503181	250000	1
1680	1681	30503176	20000	0
1681	1682	30503177	40000	0
1682	1683	30503178	60000	1
1683	1684	30503179	100000	1
1684	1685	30503180	150000	1
1685	1686	30503181	250000	1
1688	1689	30503176	20000	0
1689	1690	30503177	40000	0
1690	1691	30503178	60000	1
1691	1692	30503179	100000	1
1692	1693	30503180	150000	1
1693	1694	30503181	250000	1
1696	1697	30503176	20000	0
1697	1698	30503177	40000	0
1698	1699	30503178	60000	1
1699	1700	30503179	100000	1
1700	1701	30503180	150000	1
1701	1702	30503181	250000	1
1704	1705	30503176	20000	0
1705	1706	30503177	40000	0
1706	1707	30503178	60000	1
1707	1708	30503179	100000	1
1708	1709	30503180	150000	1
1709	1710	30503181	250000	1
1712	1713	30503176	20000	0
1713	1714	30503177	40000	0
1714	1715	30503178	60000	1
1715	1716	30503179	100000	1
1716	1717	30503180	150000	1
1717	1718	30503181	250000	1
1720	1721	30503176	20000	0
1721	1722	30503177	40000	0
1722	1723	30503178	60000	1
1723	1724	30503179	100000	1
1724	1725	30503180	150000	1
1725	1726	30503181	250000	1
1728	1729	30503176	20000	0
1729	1730	30503177	40000	0
1730	1731	30503178	60000	1
1731	1732	30503179	100000	1
1732	1733	30503180	150000	1
1733	1734	30503181	250000	1
1736	1737	30503176	20000	0
1737	1738	30503177	40000	0
1738	1739	30503178	60000	1
1739	1740	30503179	100000	1
1740	1741	30503180	150000	1
1741	1742	30503181	250000	1
1744	1745	30503176	20000	0
1745	1746	30503177	40000	0
1746	1747	30503178	60000	1
1747	1748	30503179	100000	1
1748	1749	30503180	150000	1
1749	1750	30503181	250000	1
1752	1753	30503176	20000	0
1753	1754	30503177	40000	0
1754	1755	30503178	60000	1
1755	1756	30503179	100000	1
1756	1757	30503180	150000	1
1757	1758	30503181	250000	1
