INT	INT
Level	Exp
1	45
2	150
3	311
4	526
5	825
6	974
7	1457
8	1154
9	1258
10	3574
11	3544
12	3675
13	4857
14	5475
15	5847
16	6585
17	7151
18	8251
19	9516
20	10587
21	11157
22	12089
23	15633
24	20559
25	25262
26	30257
27	35151
28	40556
29	50474
30	60518
31	70519
32	80611
33	90000
34	108785
35	119635
36	121515
37	156113
38	167590
39	187514
40	205156
41	212513
42	226223
43	258954
44	266963
45	315151
46	325555
47	359648
48	414442
49	425151
50	455117
51	501111
52	520841
53	556740
54	616389
55	658524
56	775757
57	758586
58	785758
59	857547
60	975557
61	952522
62	1001830
63	1051414
64	1125211
65	1152533
66	1257711
67	1322251
68	1426805
69	1525252
70	1651441
71	1706524
72	1806775
73	1947555
74	2078563
75	2225251
76	2452424
77	2501470
78	2730000
79	3004890
80	3301830
81	3604920
82	4030600
83	5004960
84	7003565
85	9000850
86	10854890
87	15001500
88	18006065
89	30063290
90	60163290
91	74585925
92	91545120
93	111285675
94	134059590
95	160126065
96	189751500
97	223209495
98	260780850
99	302753565
100	307564920
101	312506775
102	317581830
103	322792785
104	328142340
105	333633195
106	339268050
107	345049605
108	350980560
109	357063615
110	363301470
111	369696825
112	376252380
113	382970835
114	389854890
115	396907245
116	404130600
117	411527655
118	419101110
119	426853665
120	434788020
121	442906875
122	451212930
123	459708885
124	468397440
125	477281295
126	486363150
127	495645705
128	505131660
129	514823715
130	524724570
131	534836925
132	545163480
133	555706935
134	566469990
135	577455345
136	588665700
137	600103755
138	611772210
139	623673765
140	635811120
141	648186975
142	660804030
143	673664985
144	686772540
145	724294215
146	766577250
147	813979845
148	866867400
149	925612515
150	0
151	262362285
152	262362285
153	262362285
154	262362285
155	262362285
156	262362285
157	262362285
158	262362285
159	262362285
160	262362285
161	262362285
162	262362285
163	262362285
164	262362285
165	262362285
166	262362285
167	262362285
168	262362285
169	262362285
170	262362285
171	262362285
172	262362285
173	262362285
174	262362285
175	262362285
176	262362285
177	262362285
178	262362285
179	262362285
180	262362285
181	262362285
182	262362285
183	262362285
184	262362285
185	262362285
186	262362285
187	262362285
188	262362285
189	262362285
190	262362285
191	262362285
192	262362285
193	262362285
194	262362285
195	262362285
196	262362285
197	262362285
198	262362285
199	262362285
200	262362285
201	262362285
202	262362285
203	262362285
204	262362285
205	262362285
206	262362285
207	262362285
208	262362285
209	262362285
210	262362285
211	262362285
212	262362285
213	262362285
214	262362285
215	262362285
216	262362285
217	262362285
218	262362285
219	262362285
220	262362285
221	262362285
222	262362285
223	262362285
224	262362285
225	262362285
226	262362285
227	262362285
228	262362285
229	262362285
230	262362285
231	262362285
232	262362285
233	262362285
234	262362285
235	262362285
236	262362285
237	262362285
238	262362285
239	262362285
240	262362285
241	262362285
242	262362285
243	262362285
244	262362285
245	262362285
246	262362285
247	262362285
248	262362285
249	262362285
250	262362285
251	262362285
252	262362285
253	262362285
254	262362285
255	262362285
